발생량_10시,시군구,발생량_09시,도착량_01시,도착량_17시,발생량_14시,도착량_10시,도착량_08시,발생량_23시,도착량_18시,발생량_12시,발생량_07시,발생량_22시,발생량_00시,시도,도착량_19시,년도,발생량_20시,발생량_04시,도착량_16시,도착량_20시,발생량_05시,도착량_14시,발생량_02시,도착량_22시,읍면동,발생량_08시,발생량_06시,도착량_02시,도착량_05시,도착량_03시,발생량_03시,발생량_11시,발생량_21시,도착량_00시,발생량_19시,발생량_16시,도착량_21시,도착량_23시,도착량_09시,발생량_18시,도착량_07시,도착량_15시,도착량_11시,발생량_01시,도착량_12시,발생량_13시,발생량_17시,도착량_13시,발생량_15시,도착량_04시,도착량_06시
63163,북구,76559,31,51642,69426,29149,42242,9913,51818,65243,81303,28387,191,울산광역시,37260,2023,43170,1331,46687,28718,25570,32890,0,22492,화봉동,97934,43158,0,7993,1,0,62661,41843,512,55223,93989,29472,9215,32101,77667,28523,38122,31260,1,33179,70745,87622,34358,70922,77,15095
4721,북구,4321,1,4478,11964,2458,7715,1141,4015,9405,4505,2175,264,울산광역시,2354,2023,8430,0,3779,1412,1808,4775,0,983,효문동,5320,3785,0,1974,0,0,6241,5482,28,13262,33552,1271,579,2681,27281,13274,5065,2392,0,2834,9310,46312,3107,47351,0,5298
6227,울주군,7815,0,1075,4491,999,724,2,610,3166,7771,202,0,울산광역시,427,2023,1613,45,337,192,2400,1045,0,172,두동면,7107,1696,0,5,0,0,5586,226,0,1493,5140,250,69,919,3726,632,806,741,0,503,3058,2362,1283,7075,0,589
4781,울주군,7098,0,624,2621,396,311,0,393,3938,3361,125,0,울산광역시,288,2023,561,0,206,235,4,448,0,106,두서면,7038,2928,0,0,0,0,2475,140,0,360,2440,204,0,353,1109,743,404,530,0,482,981,1661,512,2576,0,272
163485,울주군,186233,8,55208,145106,36527,39891,21210,56804,168601,170920,65603,1234,울산광역시,44297,2023,102257,901,53100,31440,36564,39405,11,23481,범서읍,232258,73280,0,2985,4,12,144793,91095,1096,119926,201675,30993,10729,37174,185240,23445,43140,36036,18,41638,163580,210431,41202,155696,37,9913
93618,울주군,100688,0,28662,100274,17577,22066,56473,24297,89486,83522,61481,3281,울산광역시,20526,2023,102187,468,24733,17051,9280,18589,0,6871,삼남읍,109469,22966,0,3963,1,2,68971,89647,693,110543,130858,12148,2789,18317,111534,16626,23884,16655,1,19913,98295,133016,21868,107220,895,6039
1814,울주군,3465,0,120,2191,426,382,7,86,1504,2630,11,0,울산광역시,27,2023,192,0,127,40,604,165,0,10,삼동면,582,1129,0,17,0,0,2961,16,0,40,2480,26,18,325,1292,47,238,171,0,198,1271,188,293,1623,0,54
16345,울주군,18879,0,2328,16327,3772,3302,27,2252,16340,16681,880,2,울산광역시,2026,2023,3975,1,3672,1364,1886,3100,0,550,상북면,15789,5219,0,1,0,0,15794,2522,56,6830,36411,921,297,4032,9058,2949,3091,3429,0,3847,18287,27752,3105,22250,0,292
21171,울주군,20839,0,13776,23489,13416,27998,1517,11131,19088,24465,5183,389,울산광역시,9692,2023,13166,341,11796,7205,2982,11725,0,6290,서생면,26508,11640,0,385,0,0,20382,8354,1142,20907,37259,7216,3975,10056,38314,30131,13615,12046,0,11705,22198,48420,10471,34377,307,24802
92583,울주군,87650,2,29648,92513,30812,30843,3380,25493,97029,110789,21208,585,울산광역시,20999,2023,41813,455,30536,14065,14085,29022,0,8701,언양읍,113396,28981,0,1122,7,1,87293,32693,869,54625,116623,11580,3781,27964,88708,20741,28479,27409,3,29400,90766,99985,28273,88530,30,6313
