시도,시군구,읍면동,년도,발생량_04시,도착량_04시,발생량_05시,도착량_05시,발생량_06시,도착량_06시,발생량_07시,도착량_07시,발생량_08시,도착량_08시,발생량_09시,도착량_09시,발생량_10시,도착량_10시,발생량_11시,도착량_11시,발생량_12시,도착량_12시,발생량_13시,도착량_13시,발생량_14시,도착량_14시,발생량_15시,도착량_15시,발생량_16시,도착량_16시,발생량_17시,도착량_17시,발생량_18시,도착량_18시,발생량_19시,도착량_19시,발생량_20시,도착량_20시,발생량_21시,도착량_21시,발생량_22시,도착량_22시,발생량_23시,도착량_23시,발생량_00시,도착량_00시,발생량_01시,도착량_01시,발생량_02시,도착량_02시,발생량_03시,도착량_03시
인천광역시,계양구,다남동,2024,38,368,984,14978,2654,39044,3314,75283,5957,57340,4033,32461,3547,22064,3144,19470,3942,17304,3637,15121,3393,13471,3700,15216,4844,19116,5090,20092,3670,18901,2489,12933,1627,9072,1680,6789,675,6201,410,3499,143,913,14,28,0,0,0,0
인천광역시,계양구,동양동,2024,3448,231,36886,4220,72290,9921,153512,17820,148832,33703,92588,26610,71478,27983,66508,33284,65973,42636,61365,50322,55873,53446,58761,73658,58882,93435,56829,107181,51646,130394,33869,115926,26535,80170,20500,78922,16852,73875,10277,52459,3128,13789,218,1274,0,0,0,0
인천광역시,계양구,둑실동,2024,0,0,0,0,2,59,465,580,526,457,87,17,468,602,391,391,767,476,696,391,106,430,610,255,598,507,567,34,855,569,653,116,538,82,5,0,26,62,0,0,0,0,0,0,0,0,0,0
인천광역시,계양구,목상동,2024,0,0,408,911,354,6119,499,9605,876,8050,977,5467,1364,3672,1498,2769,2154,2665,2778,2594,2271,2257,2015,2101,1665,2204,1637,2016,977,1803,530,1677,379,1198,126,809,117,575,17,386,1,58,0,0,0,0,0,0
인천광역시,계양구,박촌동,2024,3550,1171,58238,19593,115011,42668,245022,93484,258704,199491,153806,80958,119849,69827,115252,72530,116786,80765,113896,90505,98292,88806,122308,119004,150609,140266,130146,162882,129691,224340,89343,175859,63991,116338,53686,113452,39635,102727,24966,64033,7211,29272,586,340,0,0,0,0
인천광역시,계양구,방축동,2024,1313,195,3649,888,6003,1982,15045,4702,15296,12418,12484,9798,10683,9694,10967,8744,11053,8446,11259,9390,10275,10305,18118,12736,20815,12865,14365,14062,14242,17527,9598,14116,5662,9193,3920,8247,3164,8844,1112,4381,317,1801,4,48,0,0,0,0
인천광역시,계양구,병방동,2024,803,22,16450,5629,29507,18092,58275,40033,68461,65546,42876,36454,41063,37158,47063,40435,52471,41948,50849,43808,51344,47790,63332,56915,68729,61272,59112,63687,61384,75382,42122,55964,31014,47512,25595,44749,21955,40984,12931,24892,3679,7302,237,1082,0,0,0,0
인천광역시,계양구,상야동,2024,0,0,109,322,820,4274,1808,6089,2435,12343,2039,4663,1442,2276,1814,2115,2096,2459,2948,2306,2659,1858,4017,1929,3516,2068,6232,2528,6612,3346,2677,2678,2087,1610,1967,1430,1475,1118,584,541,122,109,5,19,0,0,0,0
인천광역시,계양구,서운동,2024,367,5,8013,4600,18251,32582,42321,82436,48662,96602,24179,20995,21370,14398,21829,14572,27811,17843,23800,21807,25062,20400,41423,22401,47766,27400,82360,34428,65988,49615,33280,45468,30805,27195,16819,22020,9195,19654,3208,11781,172,3563,10,764,1,196,89,1
인천광역시,계양구,선주지동,2024,0,0,0,0,8,84,30,363,239,864,37,58,197,736,126,350,127,126,321,129,161,243,274,198,366,234,219,181,1,1,78,77,25,40,0,0,6,47,0,0,0,0,0,0,0,0,0,0
