시도,시군구,읍면동,년도,발생량_04시,도착량_04시,발생량_05시,도착량_05시,발생량_06시,도착량_06시,발생량_07시,도착량_07시,발생량_08시,도착량_08시,발생량_09시,도착량_09시,발생량_10시,도착량_10시,발생량_11시,도착량_11시,발생량_12시,도착량_12시,발생량_13시,도착량_13시,발생량_14시,도착량_14시,발생량_15시,도착량_15시,발생량_16시,도착량_16시,발생량_17시,도착량_17시,발생량_18시,도착량_18시,발생량_19시,도착량_19시,발생량_20시,도착량_20시,발생량_21시,도착량_21시,발생량_22시,도착량_22시,발생량_23시,도착량_23시,발생량_00시,도착량_00시,발생량_01시,도착량_01시,발생량_02시,도착량_02시,발생량_03시,도착량_03시
경기도,용인시,영덕동,2023,1934,452,60555,24729,193902,75983,366908,179575,343774,300249,251335,174578,197914,131008,184112,115836,187680,139393,189464,152453,168007,156110,191682,193099,215444,234705,277730,285317,297562,367178,174061,352922,129914,244589,114754,217782,87460,211260,42839,137615,11376,45512,1178,4021,0,5,0,0
경기도,용인시,운학동,2023,0,0,0,0,2043,551,5045,1614,2161,2060,759,953,3701,1527,1525,1310,2540,1802,1262,1318,818,1755,2060,1409,2320,2956,2460,2289,1515,3174,406,1675,981,1847,147,1391,226,1598,64,26,0,0,0,0,0,0,0,0
경기도,용인시,원삼면,2023,0,0,1117,7,4018,3917,21423,12147,20579,20179,17668,13657,10984,6763,11221,9530,10706,8689,12790,10177,12254,10259,8539,10063,14886,16172,14588,14709,11883,12721,8695,12508,5253,7349,3010,8833,1496,5596,219,2508,14,589,0,0,0,0,0,0
경기도,용인시,유방동,2023,4,0,21536,8509,56244,24243,110615,60318,159895,133226,83334,43814,68271,43193,67326,49275,69233,54280,67603,54513,63275,54105,71592,72697,92148,84955,111460,93475,85030,108033,43134,87599,32943,67742,29804,64611,18964,56737,8351,35889,1667,12064,156,779,0,0,0,0
경기도,용인시,이동읍,2023,0,0,5080,2920,32644,15180,73833,43488,73479,64152,51233,31939,41850,21830,41386,26857,41355,31593,36910,32131,35277,28529,38767,41864,46691,49843,56994,63579,50757,69910,27279,53152,24057,48022,14745,39245,10078,37957,3717,14213,1985,6043,235,2256,128,1367,0,0
경기도,용인시,죽전동,2023,18525,55,111665,44087,507556,310140,1185915,682024,1272239,1102262,827662,804567,660413,671999,645882,623137,692371,638545,720742,662785,741244,663842,869950,728280,1010382,844451,1141064,997142,1164377,1228388,857006,1057879,753799,742393,532250,651078,437420,665754,214823,431585,41002,173527,1552,6580,9,990,0,6
경기도,용인시,중동,2023,2,0,36046,19982,105998,52293,245062,153986,309880,333442,183623,174062,168665,140585,175512,138461,179176,163925,169646,177679,170527,180330,214295,206328,243034,251404,280181,289478,245023,298662,146677,253749,113121,183395,98150,148811,82457,140819,34802,88557,5627,29982,955,5083,21,19,8,8
경기도,용인시,지곡동,2023,3,0,5811,326,18316,6068,40477,8223,35268,22505,17686,9192,15790,8001,13555,7829,12512,8840,12276,9328,11907,10901,11366,13059,13303,21933,13654,18573,14261,22283,6562,19938,4312,17013,4762,12446,3065,14864,1087,9949,340,4456,33,151,29,124,0,0
경기도,용인시,청덕동,2023,25,0,18982,753,48020,9515,93089,30596,94863,75988,73749,25947,61813,19946,52833,23918,49768,31387,49601,36238,40680,39585,56437,49357,68442,62980,59896,68908,54359,78312,26585,72563,15746,58251,11836,53386,9116,43681,4376,30777,579,11587,0,13,0,0,0,0
경기도,용인시,포곡읍,2023,2155,144,46259,11155,122877,54738,279229,167420,366067,402220,196553,289718,184992,253160,191566,213064,173058,195245,175655,186262,168423,190491,225563,222337,276717,244858,340930,281602,345330,287786,292716,247603,230894,195353,213160,169113,162923,154065,38546,93373,6599,37859,986,2590,0,3,0,0
경기도,용인시,풍덕천동,2023,0,0,117039,33800,476027,190796,1198276,435630,1349540,711091,908416,540511,641654,450612,593310,462936,608448,505622,591870,572721,561424,592066,636768,680425,717560,813717,780595,1078901,726214,1236557,569248,1133593,458618,740432,448850,628944,524694,628569,242419,391501,66312,121070,132,499,0,0,0,0
