발생량_10시,시군구,발생량_09시,도착량_01시,도착량_17시,발생량_14시,도착량_10시,도착량_08시,발생량_23시,도착량_18시,발생량_12시,발생량_07시,발생량_22시,발생량_00시,시도,도착량_19시,년도,발생량_20시,발생량_04시,도착량_16시,도착량_20시,발생량_05시,도착량_14시,발생량_02시,도착량_22시,읍면동,발생량_08시,발생량_06시,도착량_02시,도착량_05시,도착량_03시,발생량_03시,발생량_11시,발생량_21시,도착량_00시,발생량_19시,발생량_16시,도착량_21시,도착량_23시,도착량_09시,발생량_18시,도착량_07시,도착량_15시,도착량_11시,발생량_01시,도착량_12시,발생량_13시,발생량_17시,도착량_13시,발생량_15시,도착량_04시,도착량_06시
15374,제주시,16783,0,14838,13332,8847,20530,86,16965,17289,31752,2540,10,제주특별자치도,10670,2023,8262,0,14601,6869,1144,9512,0,5385,오라이동,32957,7969,0,24,,,14575,6007,0,12119,19531,6940,188,11191,29731,7945,10692,10109,0,10803,18378,22811,10153,16988,0,2409
111317,제주시,121900,0,80117,121190,80948,80091,1066,87049,110857,110499,10590,15,제주특별자치도,56527,2023,52223,1,76608,36458,15954,64399,0,18829,오라일동,108036,59933,0,197,,,109749,47380,41,68814,122178,32759,5391,82255,108742,53191,66048,84648,0,79857,111815,115007,71082,129177,1,15685
10036,제주시,9579,0,12161,10293,4618,10092,1,10086,10675,19328,1488,5,제주특별자치도,7945,2023,7581,0,13631,5859,892,6223,0,1788,외도이동,14864,8293,0,269,,,8970,6064,4,10911,13795,4230,24,5531,13262,7178,9610,5163,0,6571,9231,15348,6903,12577,0,2136
38621,제주시,41863,0,41529,32937,17838,21780,165,33620,39847,102234,8204,63,제주특별자치도,28086,2023,19289,0,38663,17334,1069,26349,0,11745,외도일동,56678,30483,0,8,,,34949,20708,43,25827,35175,15723,356,19876,37742,15045,32579,17720,0,18399,31640,40953,21542,33716,0,3579
3755,제주시,2615,0,1151,3083,4201,4008,0,480,5312,3455,24,0,제주특별자치도,496,2023,83,0,1131,166,5,1893,0,11,용강동,4005,857,0,0,,,4797,83,0,319,2101,174,0,5320,1438,1770,1367,2627,0,2332,3527,2235,2105,2714,0,963
6926,제주시,5467,0,3042,5732,4038,5539,41,6079,7267,6834,1454,0,제주특별자치도,3460,2023,6057,0,8042,4035,0,4972,0,1358,용담삼동,4804,3775,0,0,,,7406,4455,1,5637,19374,3671,66,4589,11670,7278,5363,4596,0,5541,6588,6468,4691,9738,0,1319
116017,제주시,141842,0,117663,199807,144740,198946,7791,118395,132899,164890,97164,1010,제주특별자치도,112658,2023,259881,0,109224,67545,2045,92189,0,16098,용담이동,161962,50936,0,14,,,128623,273369,653,236598,257702,37715,1640,145757,256826,186024,99687,141813,0,129716,146051,280131,101015,210943,0,64154
48688,제주시,52958,0,62841,57619,51026,54474,1211,63601,54507,49533,11137,392,제주특별자치도,43937,2023,29713,0,60511,30052,112,46936,0,9764,용담일동,56601,27939,0,0,,,51544,23412,543,41141,83975,26280,865,50843,58129,34330,54017,53732,0,56836,53941,60633,49000,62526,0,20395
1120,제주시,939,0,0,1310,0,0,0,0,281,563,0,0,제주특별자치도,0,2023,0,0,0,0,0,0,0,0,우도면,879,184,0,0,,,1283,0,0,0,902,0,0,0,63,0,0,0,0,0,1226,431,0,1038,0,0
9092,제주시,9044,0,7566,8186,2854,11259,24,7718,9914,11336,449,0,제주특별자치도,5428,2023,3535,0,7582,4544,23,3738,0,4206,월평동,21395,4794,0,0,,,7775,4193,0,6561,59435,4698,57,4132,19235,13881,5329,3059,0,3779,11701,25908,4248,25755,0,1262
