발생량_10시,시군구,발생량_09시,도착량_01시,도착량_17시,발생량_14시,도착량_10시,도착량_08시,발생량_23시,도착량_18시,발생량_12시,발생량_07시,발생량_22시,발생량_00시,시도,도착량_19시,년도,발생량_20시,발생량_04시,도착량_16시,도착량_20시,발생량_05시,도착량_14시,발생량_02시,도착량_22시,읍면동,발생량_08시,발생량_06시,도착량_02시,도착량_05시,도착량_03시,발생량_03시,발생량_11시,발생량_21시,도착량_00시,발생량_19시,발생량_16시,도착량_21시,도착량_23시,도착량_09시,발생량_18시,도착량_07시,도착량_15시,도착량_11시,발생량_01시,도착량_12시,발생량_13시,발생량_17시,도착량_13시,발생량_15시,도착량_04시,도착량_06시
8333,유성구,10267,0,7085,7493,3310,5352,67,8113,9124,14289,1651,0,대전광역시,6436,2024,3165,0,7415,4366,769,5414,0,3983,교촌동,14241,4087,0,161,,,7228,2679,2,4965,7696,5233,1714,3993,9109,2315,6808,3937,0,4729,8726,9907,5950,8140,0,2049
116,유성구,279,0,457,242,432,4567,0,359,178,331,46,0,대전광역시,269,2024,68,0,246,142,382,224,0,57,구룡동,238,15,0,1,,,113,188,0,136,196,99,0,573,711,1480,590,327,0,350,143,449,279,133,0,656
8333,유성구,9277,0,20027,22360,25121,51781,744,20286,15273,4052,14784,0,대전광역시,13426,2024,40119,0,19039,10000,59,23616,0,7302,구성동,8434,3218,0,463,,,11282,21441,0,35676,41579,9839,1108,42291,60780,20626,22073,20797,0,24270,16044,50344,23322,32094,0,18579
161682,유성구,198596,77,238122,186114,156406,241874,15550,275879,182457,158776,68490,208,대전광역시,137828,2024,115322,20,216620,112318,23088,163282,0,81688,구암동,326418,60780,0,9371,,,176789,98419,3997,142193,254906,107845,31243,189601,256211,141655,188869,166683,0,167039,201811,237880,171205,215347,3,57444
137356,유성구,183449,0,211748,199616,163783,240056,18484,242346,183746,122276,169089,0,대전광역시,165328,2024,161104,0,183763,127594,9003,155688,0,115667,궁동,209727,53875,0,2504,,,148173,170883,0,174681,293645,130443,25765,231953,293448,92584,168266,144537,0,180055,199021,307501,191620,242067,0,45206
199,유성구,3,0,35,5,177,424,0,28,51,71,5,0,대전광역시,29,2024,44,0,195,3,0,189,0,0,금고동,97,29,0,0,,,6,1,0,2,49,57,0,132,75,77,19,136,0,82,188,216,217,261,0,647
480,유성구,13,0,178,4,355,159,0,8,52,0,1,0,대전광역시,0,2024,27,0,4,61,0,240,0,0,금탄동,975,477,0,0,,,12,16,0,0,19,37,0,6,232,0,87,11,0,506,511,30,6,340,0,20
64890,유성구,78107,49,96868,68018,52137,108364,8070,134898,66495,86955,39631,82,대전광역시,66351,2024,51196,12,86485,48326,9025,60687,0,43352,노은동,154166,27874,0,4504,,,61450,67419,3953,63960,103051,50021,21542,61904,125373,76509,69692,51645,0,58601,75122,102609,62516,82658,1,21210
1001,유성구,0,0,345,13,714,866,0,5,22,0,19,0,대전광역시,29,2024,137,0,0,103,0,511,0,2,대동,1111,245,0,0,,,0,1,0,0,0,106,0,0,317,0,21,0,0,751,761,12,20,523,0,8
13403,유성구,18714,0,17564,16142,8660,12000,244,18194,14339,18754,3597,0,대전광역시,14638,2024,14335,0,19423,10070,3216,14699,0,8136,대정동,20893,10273,0,361,,,13496,9775,0,12012,18974,10588,3354,17820,18797,7720,16999,12111,0,14187,17088,23994,14214,17591,0,5413
41462,유성구,40630,0,49361,82204,55518,109365,621,58845,72876,33799,28329,0,대전광역시,39726,2024,46520,0,49571,35870,6104,42461,0,41182,덕명동,52123,12070,0,803,,,56220,35579,0,44563,132957,38662,15468,116538,86614,25757,45520,61043,0,57169,77622,111525,76452,114461,0,12066
649,유성구,933,0,567,1770,743,2518,37,838,1266,614,1783,0,대전광역시,516,2024,1965,0,528,561,20,500,0,1030,덕진동,1417,100,0,199,,,913,1822,0,2766,3651,569,11,1923,3121,1872,526,795,0,953,1412,4288,594,3066,0,1694
36781,유성구,44401,0,88732,85101,97758,140552,4298,95186,63799,43063,51730,0,대전광역시,59151,2024,166473,0,90528,40278,1346,87858,0,27785,도룡동,70460,15232,0,1578,,,50947,94842,0,132736,153766,34299,5724,167216,201534,79931,85489,95522,0,86226,71567,162799,86133,117149,0,42694
9251,유성구,11289,0,13299,8201,4042,8748,294,15171,7031,25703,3156,0,대전광역시,10786,2024,4552,0,10763,11208,417,7037,0,7843,둔곡동,19667,8818,0,0,,,7770,4775,0,6166,10073,11691,2387,3578,15532,7891,8138,3378,0,3747,7887,13039,5504,8175,0,3577
9634,유성구,12533,0,7391,14435,5305,30559,452,8260,14410,12720,9085,0,대전광역시,5862,2024,15870,0,6243,4673,497,4604,0,3166,문지동,16277,5600,0,24,,,9621,12980,0,18290,22098,4001,595,16361,37362,16885,5086,4706,0,6070,13361,29697,5479,16967,0,9581
183003,유성구,253930,4850,391899,204853,171755,415710,79229,519605,209112,359842,178731,10580,대전광역시,248917,2024,198656,1170,290708,195169,32189,192738,1,194086,반석동,468484,114899,0,20735,,,181442,210154,30751,245956,279442,206076,95723,234763,488656,300948,235124,184769,19,195855,219706,348818,202998,241102,0,96978
1890,유성구,2001,0,1295,2358,1505,3027,3,1361,1557,1376,169,0,대전광역시,963,2024,567,0,2020,600,6,1803,0,346,방동,1842,298,0,2,,,1218,284,0,381,1852,501,69,2193,1285,1952,1815,1935,0,1687,1788,1490,1663,1745,0,1993
258,유성구,310,0,459,916,560,3937,18,277,686,480,299,0,대전광역시,205,2024,908,0,416,175,9,276,0,133,방현동,447,52,0,52,,,432,738,0,1730,1919,180,30,1823,3187,3690,264,268,0,630,426,2657,470,1371,0,1535
3374,유성구,2273,0,3087,4395,3460,20369,143,3062,4926,2751,902,0,대전광역시,2195,2024,2930,0,3638,1673,18,3502,0,1663,복용동,3866,1465,0,98,,,4155,1334,0,4159,7395,1703,569,8543,14943,5265,3165,3789,0,4157,3676,11780,3616,5244,0,2813
395775,유성구,464411,296,714597,506094,421729,656314,87937,882557,492425,433243,347800,1396,대전광역시,497490,2024,407310,102,604527,365147,52827,490305,0,289579,봉명동,758415,187275,0,31211,,,428265,451687,10439,462508,632499,343916,111633,510150,754793,335922,516862,440655,4,469505,516735,703304,500166,586726,2,182111
9972,유성구,15305,0,27502,11257,9696,18897,775,36314,10899,35207,5087,0,대전광역시,32518,2024,7654,0,35657,21444,1359,16494,0,19707,봉산동,29221,11871,0,99,,,9607,8877,11,10443,18376,21034,8083,11055,16632,13222,28586,12309,0,16124,11876,15626,15748,15359,0,5600
