시도,시군구,읍면동,년도,발생량_04시,도착량_04시,발생량_05시,도착량_05시,발생량_06시,도착량_06시,발생량_07시,도착량_07시,발생량_08시,도착량_08시,발생량_09시,도착량_09시,발생량_10시,도착량_10시,발생량_11시,도착량_11시,발생량_12시,도착량_12시,발생량_13시,도착량_13시,발생량_14시,도착량_14시,발생량_15시,도착량_15시,발생량_16시,도착량_16시,발생량_17시,도착량_17시,발생량_18시,도착량_18시,발생량_19시,도착량_19시,발생량_20시,도착량_20시,발생량_21시,도착량_21시,발생량_22시,도착량_22시,발생량_23시,도착량_23시,발생량_00시,도착량_00시,발생량_01시,도착량_01시,발생량_02시,도착량_02시,발생량_03시,도착량_03시
서울특별시,종로구,효제동,2024,610,1056,6177,4303,12160,15020,32486,47319,67278,90648,48075,58120,38883,44966,44613,39354,51381,43216,57613,48129,62328,44310,72309,45493,82691,48044,113835,51396,138859,56059,77666,40658,62002,31551,57745,32012,45593,32344,24215,21741,10044,12316,2077,2173,320,724,363,710
서울특별시,중구,광희동1가,2024,1492,1969,6845,10859,27853,45309,53583,134601,98311,385145,83805,153967,81760,65042,72881,58181,66471,58974,71749,61509,78041,58547,83730,57764,108319,61880,197407,68990,294989,73135,124796,49085,76587,39149,67375,40469,50583,39987,29285,28315,12840,9495,6009,2125,3780,1528,2618,1093
서울특별시,중구,광희동2가,2024,3601,1406,5563,3384,3314,4937,7290,9394,10778,14548,12311,11331,12277,9203,9668,9519,9535,10218,9420,11271,10018,11743,10676,12310,10140,12571,10047,14083,11000,14559,9120,14645,7234,10918,7401,10698,6695,11178,4500,5483,3502,1723,10,18,1,0,0,0
서울특별시,중구,남대문로1가,2024,5161,21428,6803,53225,25366,75977,48708,176303,63359,267925,59953,172868,54133,120777,64332,124151,66907,116068,79769,111534,89294,98297,110190,93673,118456,97217,194855,109957,263056,110198,172022,70744,148950,50951,139696,43682,129650,36089,79147,22403,25636,8653,12703,7752,7437,5411,4906,5178
서울특별시,중구,남대문로2가,2024,11331,25461,36549,76633,50872,85062,113279,165924,152291,300314,134401,237810,133558,227687,188628,262637,243206,258452,294789,254975,349694,246415,431641,246371,485139,241069,613297,243110,769673,235918,595033,153658,564583,107463,454349,87704,413187,62193,233240,34188,61450,12690,15770,3891,6010,2984,3102,2119
서울특별시,중구,남대문로3가,2024,6450,14036,18432,48933,24365,56894,38703,110501,54530,215806,71984,192091,100661,185649,144405,205224,187020,187909,225566,180064,259450,169041,284936,150208,304276,119492,320738,103229,256737,92793,158946,56066,134150,42370,90689,40612,73292,38318,47782,25401,17864,10965,6938,2447,5154,1475,3583,1227
서울특별시,중구,남대문로4가,2024,1,0,49,1781,414,13776,592,48737,680,81383,799,44121,1183,30532,2013,31600,3452,23906,5963,18615,8444,14863,10158,11694,10917,9743,12817,8503,15090,7604,7362,7651,6413,5644,5272,4096,3679,3455,2171,2425,267,495,125,355,39,156,0,0
서울특별시,중구,남대문로5가,2024,5928,17298,31272,61587,52317,94550,89794,177966,117085,279901,97156,199703,97700,124230,126474,116631,135760,116036,144868,112801,161113,103761,197409,105170,232729,109437,377139,118425,422212,117693,241156,78340,185754,67766,172527,61614,147750,57523,98237,42628,50331,18556,20709,10884,7614,5269,4184,3399
서울특별시,중구,남산동1가,2024,1042,2087,3981,12566,2548,15286,4651,22495,11827,38716,13825,32380,16105,29280,22222,29686,25108,32913,28507,33386,31729,32935,36634,33030,41362,33447,41740,35247,46767,33575,41309,30023,41946,25559,43663,20705,43253,14411,23236,8034,3892,1758,2455,1069,1241,623,749,475
서울특별시,중구,남창동,2024,4193,8606,30798,49744,58262,306183,96991,752495,163972,1889262,201333,1348375,278791,1131728,434859,1093324,580171,922152,735165,842281,893773,770026,1041738,652376,1216817,521451,1495155,428683,1601914,367797,796281,228577,737116,152846,314745,142943,189054,115361,77775,64832,13910,19394,4092,4389,3215,1355,2636,2208
서울특별시,중구,다동,2024,0,0,221,2643,928,17597,769,65847,707,106696,729,68524,806,41698,1106,40245,1562,33461,2600,29867,3343,25220,4831,21608,6773,21742,12344,22633,22160,21155,9917,16508,8495,10865,8733,8382,6604,7027,2974,4336,67,194,27,143,25,81,0,0
서울특별시,중구,만리동1가,2024,586,1344,1444,5192,6146,5210,17966,13555,35763,21895,25749,14206,25854,12800,28480,14650,34731,17465,37980,17952,38471,18586,47510,20887,53104,23890,68603,23258,80651,25304,67345,20260,50654,15271,52867,15763,42700,12775,18536,4288,5434,343,2879,353,578,223,690,224
서울특별시,중구,만리동2가,2024,3667,1611,12827,5663,18828,9084,44541,16615,66170,27726,44920,15177,36365,15988,34475,18247,35686,21894,36520,27241,35511,31294,40665,35461,50793,39143,46868,47839,47663,61668,33393,57906,24575,45774,22380,45312,19809,40871,7512,28582,1218,5281,949,2952,576,2011,993,1246
서울특별시,중구,묵정동,2024,754,1001,3246,3285,3349,3589,5830,7735,10782,23720,11721,14048,12884,8620,13332,8279,14672,8892,16271,8910,18630,8982,18962,9391,20497,9174,25893,9780,28503,11219,18977,9683,14376,9284,13709,9323,10813,9627,6548,5621,1775,1101,1677,815,1270,582,780,275
서울특별시,중구,방산동,2024,580,3528,2530,7911,1073,9124,2190,9975,3791,15681,5183,14114,6563,13925,7264,13354,7557,12532,7599,11819,8530,11416,10455,11013,11596,10282,14608,10610,12521,10768,8567,7426,6470,5891,6364,5051,4286,3791,2090,2528,1129,1035,8,0,0,1,0,0
서울특별시,중구,봉래동1가,2024,403,3642,606,9799,4426,8699,10828,20562,18101,38612,12268,29711,11591,12676,15738,12884,14710,14604,15547,17752,16105,16805,17305,18351,18592,20005,40475,23108,52625,25477,23234,16384,15000,13541,13331,11183,10089,9397,4744,6172,3433,2359,1156,735,464,595,336,769
서울특별시,중구,봉래동2가,2024,29303,58241,187729,341727,320420,1167451,1049023,2289555,1675291,4019824,1398336,2737944,1302809,1571811,1577885,1422644,1786795,1577152,1738742,1567041,1459952,1433145,2067485,1515523,2306329,1602455,3342801,1874991,4097266,1990903,2438454,1325117,1773283,973991,1902186,891918,1347236,636347,774037,312318,220603,81758,25443,14483,11103,7051,5690,5762
서울특별시,중구,삼각동,2024,0,0,57,648,168,784,195,1001,590,1215,600,866,980,690,1534,764,1262,841,1464,997,1545,726,2009,756,1891,777,2755,842,5204,962,2832,548,2737,394,3035,335,2996,306,2643,179,1246,110,1,0,0,0,0,0
서울특별시,중구,서소문동,2024,2373,6512,18365,53237,34036,282681,76010,960623,132337,2821972,184499,1189652,263644,435228,353462,399254,346124,395526,425562,422746,519782,371992,635924,335676,775592,308513,1457757,339042,2249299,331683,866161,184264,685231,127143,611684,118734,386368,102094,161348,66249,29409,22519,5332,5761,2653,3382,2008,3023
서울특별시,중구,소공동,2024,125,761,838,3409,2376,5312,3262,8738,3586,13441,6016,9480,7789,6577,9315,6782,9801,7752,11434,7030,12570,6942,14816,7150,14691,6771,16903,7342,20156,6721,12637,4743,11748,2942,11349,2597,8198,1868,4316,1338,2914,1273,1082,1357,412,934,349,1027
서울특별시,중구,수표동,2024,0,0,32,199,342,1051,465,1342,1031,1851,1514,1591,2223,953,2693,735,2332,650,2291,789,2273,640,2356,643,2764,747,5402,685,6097,713,3949,554,3966,531,3860,430,3581,625,2805,458,1313,268,2,0,0,0,0,0
서울특별시,중구,순화동,2024,41,0,92,0,95,670,76,1483,164,3516,85,2129,114,753,185,630,112,496,124,618,150,545,123,496,159,598,190,541,437,646,136,414,87,185,50,200,35,123,38,0,23,0,13,0,5,0,0,0
서울특별시,중구,신당동,2024,37245,19084,272121,109726,431819,326605,974012,695712,1401159,1516849,1049049,1013749,844586,731987,815094,728160,887361,768055,913658,812850,908051,846706,978008,945628,1083344,1052518,1205666,1229392,1510680,1536145,1004186,1135504,785043,813000,728431,730559,625520,676372,338200,407339,85268,121451,32462,37310,19446,17818,20732,17666
서울특별시,중구,쌍림동,2024,3817,2373,3534,6948,5044,8924,8885,24932,15156,53601,16329,24329,16229,13691,18338,13607,16519,14728,16813,15130,18049,14859,19294,14946,20460,15357,32290,15968,43535,17521,23386,13259,15141,11781,12296,12363,8606,11853,4749,7894,2665,3090,1194,2771,1122,2199,1052,1184
서울특별시,중구,예관동,2024,401,2000,975,10376,1376,6796,3586,14155,6213,27388,4927,13858,5241,9743,5739,7856,6304,6544,6415,6804,5933,6889,6354,6453,5959,7024,8081,7937,7667,9879,4488,5063,3264,3745,2905,3479,2132,3545,1570,2637,229,209,0,3,0,0,0,0
서울특별시,중구,예장동,2024,1832,3159,9141,12576,27762,23678,60872,50011,79658,63858,88386,67915,92023,95366,108169,113453,129554,118233,141843,128044,180265,154006,224016,171751,238825,185137,234906,187809,211577,187822,211300,159423,208758,123859,178266,86265,139037,54423,55272,23527,13196,3978,1693,1,0,0,0,0
