발생량_10시,시군구,발생량_09시,도착량_01시,도착량_17시,발생량_14시,도착량_10시,도착량_08시,발생량_23시,도착량_18시,발생량_12시,발생량_07시,발생량_22시,발생량_00시,시도,도착량_19시,년도,발생량_20시,발생량_04시,도착량_16시,도착량_20시,발생량_05시,도착량_14시,발생량_02시,도착량_22시,읍면동,발생량_08시,발생량_06시,도착량_02시,도착량_05시,도착량_03시,발생량_03시,발생량_11시,발생량_21시,도착량_00시,발생량_19시,발생량_16시,도착량_21시,도착량_23시,도착량_09시,발생량_18시,도착량_07시,도착량_15시,도착량_11시,발생량_01시,도착량_12시,발생량_13시,발생량_17시,도착량_13시,발생량_15시,도착량_04시,도착량_06시
25214,서구,24820,0,8464,35307,7368,6859,6729,8305,28232,25241,15437,353,부산광역시,6192,2024,19130,0,8202,5154,2889,7900,0,4385,부민동1가,33449,10541,0,807,0,0,27747,18367,117,21164,47040,5040,1701,7138,31407,3660,7590,7083,0,7127,34315,51503,8205,39297,0,2366
4306,서구,5869,0,1332,3329,444,570,49,891,3276,8449,244,0,부산광역시,673,2024,1141,0,1158,683,0,684,0,646,부민동3가,9452,2414,0,0,0,0,3728,483,0,1359,3236,605,225,348,2766,298,929,524,0,728,3713,3460,610,3043,0,84
7378,서구,8160,0,6618,12358,4999,4956,1224,6435,9002,10628,4688,0,부산광역시,3858,2024,7206,3,6147,3054,1674,5156,0,2735,부용동1가,13547,5190,0,1245,0,0,7851,6295,0,8099,13868,3209,882,4206,11466,2256,5636,5102,0,4937,10639,13229,5259,13007,0,1854
18531,서구,18060,0,5837,26933,7371,9715,2962,6078,20736,17730,7993,5,부산광역시,3688,2024,10716,0,5673,2769,2199,5893,0,2384,부용동2가,29247,8719,0,366,0,0,21002,10046,9,13022,34346,2512,660,7580,22428,5082,5283,6352,0,5506,24447,32748,6758,25903,0,3424
37411,서구,35806,69,10687,35499,10299,9986,7336,9479,37202,36441,14650,1309,부산광역시,5979,2024,22210,0,11084,4358,6126,9960,0,3665,서대신동1가,49003,17095,0,1327,0,0,39020,20952,722,25617,41144,4219,1846,11004,41506,8157,10737,11144,192,10073,37722,40995,9833,38149,0,4684
157293,서구,153437,60,166079,153424,101195,159535,14366,167142,160426,168123,41365,1031,부산광역시,92061,2024,66337,697,142628,69292,29164,119953,17,44779,서대신동2가,216030,72730,7,12267,0,0,160996,56863,8609,87434,175308,60471,27344,101762,154280,92472,136226,104055,58,107772,154845,184220,117726,168047,4,43731
153756,서구,158207,114,72917,158417,62077,82124,11658,69625,159705,173959,43129,515,부산광역시,42569,2024,67829,0,67396,35484,21580,59595,36,22459,서대신동3가,197425,66496,11,8110,0,0,154594,56125,334,86301,207772,29862,7211,66883,135488,76263,64146,59627,355,63097,167958,171636,66655,210947,0,35985
19317,서구,15366,0,29160,21114,19324,32395,2065,23869,17687,13918,6214,0,부산광역시,10292,2024,8787,1,27313,6097,917,23726,0,2547,아미동1가,14221,7217,0,1785,0,0,20720,7230,0,9698,25744,3544,353,22027,17488,23314,26583,20650,0,23695,16820,25784,24262,27071,0,10429
88397,서구,74301,0,29825,71156,28559,28815,5639,28301,79251,70693,18708,0,부산광역시,17161,2024,31185,0,28969,13487,5320,27915,0,8960,아미동2가,99661,39943,0,2072,0,0,83965,25443,0,42213,73654,11684,1742,23118,65846,18727,29033,29192,0,27892,72486,74211,27654,72650,0,11308
208821,서구,200865,0,96570,247034,78847,80431,23032,86128,235919,225699,85572,2895,부산광역시,60440,2024,108806,1,95605,47010,46101,97039,0,30018,암남동,236655,101578,0,12621,0,0,235522,91557,1386,154875,314007,41411,11862,70803,275979,60950,99374,87036,2,88040,219582,385485,94036,294099,0,41815
8284,서구,10379,0,3707,6921,2294,2676,219,3519,8340,8255,783,0,부산광역시,1886,2024,2281,0,3540,1312,1295,3220,1,920,초장동,11664,4475,0,145,0,0,7762,1450,0,2762,12084,1141,126,2340,6516,1545,3615,2611,0,3331,7791,7172,3175,16615,0,1052
166516,서구,146923,120,173194,216040,131799,137829,42775,140176,202288,164031,82151,7347,부산광역시,65855,2024,122514,37,159802,44578,37703,141415,0,27523,충무동1가,185698,106652,0,30664,0,0,183648,109853,2063,147495,238216,34410,11370,129429,227223,106568,154726,143171,1488,144288,205864,241507,137782,234897,29,69725
202491,서구,181229,362,146377,248275,259680,454772,27904,168199,210365,132329,47973,1950,부산광역시,98347,2024,71564,1067,139022,75051,39706,187176,0,84549,토성동3가,193294,71620,1,24024,1,1,223306,62178,15901,97904,323877,76149,57947,266742,218164,162719,144695,203764,194,168496,202929,443624,229364,303454,6,63194
43613,서구,30375,372,11225,44520,14304,7283,3534,10964,47151,13153,14671,139,부산광역시,6430,2024,19329,0,11147,5687,1619,12134,0,4472,토성동4가,21294,6897,0,1362,0,0,47887,18668,953,25100,43518,5193,1974,11275,35123,5112,12032,14118,49,12758,45031,39422,12583,48139,0,5170
3026,서구,2790,0,1208,3615,1826,775,404,1205,3228,2931,1454,0,부산광역시,974,2024,4429,0,1320,746,65,1284,0,488,토성동5가,3474,803,0,94,0,0,3633,3436,0,3201,3686,594,131,1626,3251,371,1131,1962,0,1480,3240,4159,1539,4773,0,202
1002934,수영구,1156936,3951,1259303,1088827,642268,866068,331235,1510795,1106375,959633,643763,49053,부산광역시,937533,2024,848484,3556,1082631,674496,222226,851432,541,409263,광안동,1587661,418607,352,73494,0,2,1070112,788759,72933,901338,1221692,549246,220840,661287,1278716,372626,939125,702488,5337,769940,1116892,1308803,823908,1201570,36,206773
450461,수영구,470499,553,629213,544573,378464,588169,117696,719256,573378,418456,271653,9088,부산광역시,411363,2024,397528,659,555662,282723,64346,457152,104,164298,남천동,637512,156364,44,33766,0,0,513310,406890,16827,429185,715636,218011,79836,422422,710487,206161,480997,390374,1404,404430,529599,719163,484189,599539,4,103287
